Nombre,Dirección,lat,lon,coord_source,dist_plaza_grande_km,existe_gmaps,estrellas_num,Cantidad de Reseñas,log1p_resenas,Tiene IG,Seguidores IG,log1p_seguidores_ig,Tiene TikTok,Seguidores TT,log1p_seguidores_tt,Likes TT,Tipo Restaurante,tipo_restaurante_ui,Franquicia,franquicia_bin,marca_id,cuenta_social_duplicada,AÑO REGISTRO,CATEGORÍA,Instagram,URL IG,TikTok,URL Tik Tok
POLLOS LA NOTA,"eugenio Espejo  Oe2-40 oe2 FLORES, Quito, Ecuador",-0.2222403,-78.51336473,primaria_C_D,0.21608441461482417,TRUE,0,0,0,0,0,0,0,0,0,0,Fast Food,Fast Food,No posee,0,POLLOS LA NOTA__306,FALSE,2022,SEGUNDA / 3 TENEDORES,No tiene,0,No tiene,0
POLLOS PARA TI,"ROCAFUERTE OE8-76 0E8 IMBABURA, Quito, Ecuador",-0.220690829,-78.51746656,respaldo_R_S,0.552659684954868,FALSE,,0,0,0,0,0,0,0,0,0,Fast Food,Fast Food,No posee,0,POLLOS PARA TI__307,FALSE,2014,SEGUNDA / 3 TENEDORES,No tiene,0,No tiene,0
PONDO DE BARRO TRES,"Olmedo OE4-46 Venezuela, Quito, Ecuador",-0.224500957,-78.5137038,primaria_C_D,0.46458684827922087,TRUE,3,67,4.219507705176107,0,0,0,0,0,0,0,Tradicional,Tradicional,No posee,0,PONDO DE BARRO TRES__308,FALSE,2023,SEGUNDA / 3 TENEDORES,No tiene,0,No tiene,0
PUENTE DE PIEDRA DE LA RONDA,"SUCRE OE6-48 CUENCA, Quito, Ecuador",-0.2238068,-78.5150771,primaria_C_D,0.4661743139111954,TRUE,4.6,9,2.302585092994046,0,0,0,0,0,0,0,Desconocido,Otro,No posee,0,PUENTE DE PIEDRA DE LA RONDA__309,FALSE,2013,SEGUNDA / 3 TENEDORES,No tiene,0,No tiene,0
PUERTO CEVICHE,"BOLIVAR OE4-54 VENEZUELA, Quito, Ecuador",-0.2171878,-78.5125675,primaria_C_D,0.36837630664123366,TRUE,4.8,4,1.6094379124341003,0,0,0,0,0,0,0,Comida Ecuatoriana,Comida Ecuatoriana,No posee,0,PUERTO CEVICHE__310,FALSE,2023,SEGUNDA / 3 TENEDORES,No tiene,0,No tiene,0
QENQO PUB,"MONTUFAR N4-146 ESPEJO, Quito, Ecuador",-0.2230405,-78.5139908,primaria_C_D,0.32753638431695714,TRUE,4.8,73,4.30406509320417,1,3507,8.162801353492073,1,2917,7.978653729082731,6227,Bar,Bar,No posee,0,QENQO PUB__311,FALSE,2024,SEGUNDA / 3 TENEDORES,qenqo_uio,https://www.instagram.com/qenqo_uio/,@qenqobrew,https://www.tiktok.com/@qenqobrew
QUE SABOR DANIEL,"Chile &, 170401 Quito",-0.221496429,-78.50924588,primaria_C_D,0.37842249425669716,TRUE,4.5,30,3.4339872044851463,0,0,0,0,0,0,0,Fast Food,Fast Food,No posee,0,QUE SABOR DANIEL__312,FALSE,2021,SEGUNDA / 3 TENEDORES,No tiene,0,No tiene,0
QUERUBÍN,"Chile 56, 170401 Quito",-0.219465771,-78.5117027,primaria_C_D,0.14520659087690407,TRUE,4.8,454,6.12029741895095,1,730,6.594413459749778,1,311,5.7430031878094825,4450,Nuevo Tradicional,Nuevo Tradicional,No posee,0,QUERUBÍN__313,FALSE,2022,SEGUNDA / 3 TENEDORES,querubin_restobar,https://www.instagram.com/querubin_restobar/,@querubin.restobar,https://www.tiktok.com/@querubin.restobar
REAL AUDIENCIA HOTEL,"ROCAFUERTE  E1-50 MONTUFAR, Quito, Ecuador",-0.2207807,-78.5110147,primaria_C_D,0.16808009225718923,TRUE,4.5,138,4.9344739331306915,1,710,6.566672429803241,1,51,3.9512437185814275,75,Nuevo Tradicional,Nuevo Tradicional,No posee,0,REAL AUDIENCIA HOTEL__314,FALSE,2025,SEGUNDA / 3 TENEDORES,marquesarooftop,https://www.instagram.com/marquesarooftop/,@marquesa.rooftop,https://www.tiktok.com/@marquesa.rooftop
RESTAURAN BALCON RONDEÑO,"loja oe5-47 garcía moreno, Quito, Ecuador",-0.2241986,-78.5140623,primaria_C_D,0.4464498667098916,TRUE,3.7,43,3.784189633918261,1,130,4.875197323201151,1,255,5.545177444479562,1722,Tradicional,Tradicional,No posee,0,RESTAURAN BALCON RONDEÑO__315,FALSE,2016,SEGUNDA / 3 TENEDORES,balcon_rondeno,https://www.instagram.com/balcon_rondeno/,@balconrondeno,https://www.tiktok.com/@balconrondeno
